order_id,customer_id,product_id,product_name,category,order_date,time,branch,city,quantity,price,tax,total_amount,payment_method,order_status,customer_rating,extra_column
ORDRFCGRK4F,CUSTBIUM1ULN,PROD6Z3UTG33,Headphones,Home,22-09-2024,05:23:28,C,Houston,10,244.47,24.45,2469.15,Credit Card,Delivered,1,Unnecessary
ORDH78L2OBG,CUSTZZCJFBNF,PRODR4MYWW0G,Headphones,Books,24-11-2023,21:57:27,A,Houston,5,485.1,48.51,2474.01,Credit Card,Cancelled,1,Unnecessary
ORDM7FIL5XX,CUST2ORXQFCT,PRODU9XV3TJR,Smartphone,Electronics,22-02-2024,05:39:31,A,Houston,4,165.7,16.57,679.37,PayPal,Delivered,1,Unnecessary
ORDKVCYNWDV,CUSTYWI3TPH6,PRODJ1TKA8OR,Smartwatch,Books,11-07-2024,18:56:11,B,New York,1,285.3,28.53,313.83,PayPal,Shipped,3,Unnecessary
ORDRHZQHK1K,CUSTSEJNPBVE,PRODIB0XI2K8,Chair,Books,16-03-2024,10:34:40,C,Chicago,9,83.85,8.38,763.03,Debit Card,Cancelled,1,Unnecessary
ORDU73PXYOX,CUST5P45D49F,PRODMQF39HJC,Smartphone,Books,20-12-2023,04:18:03,C,Phoenix,2,53.68,5.37,112.73,Net Banking,Delivered,0,Unnecessary
ORDQE6E137Y,CUSTMSTX0NGM,PRODN523P80O,Jacket,Books,29-03-2024,04:26:57,B,New York,10,349.45,34.95,3529.45,PayPal,Pending,5,Unnecessary
ORDSMJN3KS0,CUSTLHRTF56L,PRODQ4ECWJGJ,Magazine,Home,22-03-2024,10:19:13,C,Houston,1,235.8,23.58,259.38,Credit Card,Cancelled,1,Unnecessary
ORDET1AQGAC,CUSTRPJTSHUW,PRODAVHB51BR,Lamp,Electronics,03-07-2024,09:12:46,A,Chicago,9,463.18,46.32,4214.94,Net Banking,Pending,0,Unnecessary
ORD0TF6YDKH,CUSTR3VDOMYR,PRODDU6MVUAI,Jeans,Clothing,30-04-2024,02:39:23,A,New York,9,458.14,45.81,4169.07,Net Banking,Shipped,4,Unnecessary
ORDYRSP3WPA,CUST5PIAK6N6,PROD1D2IH5OS,Board Game,Clothing,27-09-2024,15:22:08,A,Houston,6,123.67,12.37,754.39,Net Banking,Cancelled,0,Unnecessary
ORDWT3D5M6G,CUST2RTYL4YQ,PRODM2YB67WN,Headphones,Clothing,02-03-2024,13:02:05,A,Houston,7,18.33,1.83,130.14,Credit Card,Shipped,3,Unnecessary
ORDW7BI15UP,CUSTFAKD1PKQ,PROD1LGO85S2,Jeans,Books,16-05-2024,02:27:01,A,New York,9,322.17,32.22,2931.75,Debit Card,Delivered,4,Unnecessary
ORDCJKT6M1N,CUSTJV9ZFF5D,PRODI8I8OA6U,E-Book,Clothing,08-06-2024,06:33:01,C,Phoenix,2,113.5,11.35,238.35,Debit Card,Cancelled,4,Unnecessary
ORD51UHXKSB,CUSTIX8352YU,PRODAWOL4SKJ,Headphones,Home,30-11-2023,12:03:01,C,Los Angeles,6,115.08,11.51,701.99,PayPal,Cancelled,5,Unnecessary
ORDLJZKJ7L4,CUSTHZNOWTE4,PROD5O4VZWCU,Action Figure,Clothing,23-09-2024,00:34:43,A,New York,1,308.59,30.86,339.45,PayPal,Delivered,2,Unnecessary
ORD0U0YRW2V,CUSTGXC79AKL,PROD0IV8U9CE,Curtains,Home,28-04-2024,15:47:12,B,Houston,3,67.18,6.72,208.26,PayPal,Cancelled,2,Unnecessary
ORD3GTDQC6B,CUSTIC7BV3T9,PRODND0MHV0G,Non-Fiction Book,Books,25-01-2024,01:52:27,A,Chicago,5,127.38,12.74,649.64,Net Banking,Shipped,3,Unnecessary
ORDFL63NPP0,CUSTA5SV6455,PRODJGRTRSXN,Curtains,Clothing,06-06-2024,15:24:29,B,New York,1,150.63,15.06,165.69,Debit Card,Pending,0,Unnecessary
ORDK0BOSHAA,CUSTIAOASILC,PROD6KYGJ95I,E-Book,Books,24-07-2024,05:54:30,A,Houston,6,349.44,34.94,2131.58,Debit Card,Cancelled,3,Unnecessary
ORD24U55ZC4,CUSTVLA5CMJE,PRODARQ5I79Y,Tablet,Books,25-03-2024,23:25:01,A,New York,2,343.79,34.38,721.96,Net Banking,Shipped,0,Unnecessary
ORD5HIQRE1E,CUST0X52FGKM,PROD5CMW2YD6,Magazine,Clothing,03-12-2023,14:14:58,B,Chicago,2,181.69,18.17,381.55,Debit Card,Cancelled,4,Unnecessary
ORDSP2P01XA,CUSTMCNYPMR0,PRODZ8022JAN,Jacket,Clothing,26-11-2023,18:12:21,A,New York,4,329.57,32.96,1351.24,Credit Card,Pending,5,Unnecessary
ORDTTIJQBNJ,CUSTXM4Q2H9T,PRODQ5V25ATF,T-Shirt,Books,14-04-2024,10:18:29,B,Los Angeles,3,81.07,8.11,251.32,Debit Card,Delivered,3,Unnecessary
ORD2VIU7RF9,CUSTCKHL9LRJ,PRODP00T4F6B,Puzzle,Home,16-10-2024,21:27:40,C,Houston,1,421.02,42.1,463.12,PayPal,Pending,5,Unnecessary
ORDV7XCAJTM,CUST7AYMQ3EN,PROD74GFC9ML,Sofa,Toys,15-05-2024,04:36:18,C,New York,1,401.45,40.15,441.6,Debit Card,Cancelled,5,Unnecessary
ORDV70RL0LR,CUSTQUQCQUI1,PRODCXCUFL4U,Jeans,Toys,29-03-2024,12:09:26,A,Chicago,10,37.49,3.75,378.65,Credit Card,Cancelled,3,Unnecessary
ORD59EJQANQ,CUSTGZDT16TU,PRODBKEAI8VW,Chair,Home,11-05-2024,09:01:16,A,Chicago,10,164.44,16.44,1660.84,Debit Card,Pending,0,Unnecessary
ORDT2LD883B,CUST0OOELDE9,PROD7ZGN9DHB,Non-Fiction Book,Clothing,02-03-2024,06:02:34,A,Los Angeles,2,224.43,22.44,471.3,Credit Card,Delivered,1,Unnecessary
ORDZY5ROUCZ,CUST0R1KXB1Q,PRODPAUBP5PJ,Smartphone,Toys,24-11-2023,14:22:16,C,Houston,9,394.88,39.49,3593.41,PayPal,Shipped,4,Unnecessary
ORDAKP7FLMX,CUST6QCDIR9Z,PRODCJD57WPQ,Comic Book,Electronics,03-03-2024,19:49:17,A,New York,1,54.75,5.48,60.23,Net Banking,Delivered,4,Unnecessary
ORDHIHQUZ9G,CUSTEWA6AFVS,PROD8T8EC94F,Curtains,Books,09-11-2023,01:04:54,A,Los Angeles,1,327.18,32.72,359.9,Net Banking,Delivered,4,Unnecessary
ORD9LZE0ESH,CUSTWSBG6SFR,PROD5NJBE6WV,Headphones,Home,26-04-2024,18:44:14,B,Los Angeles,7,69.13,6.91,490.82,Net Banking,Pending,0,Unnecessary
ORDAJEIS7K5,CUSTSEB4XV06,PRODOXZ76S1T,Sofa,Clothing,02-09-2024,15:12:11,B,Phoenix,8,252.81,25.28,2047.76,Net Banking,Cancelled,0,Unnecessary
ORDQ5AXVGPR,CUSTBH0XK2XO,PROD9COSMJLB,Puzzle,Books,05-12-2023,19:45:35,C,Los Angeles,2,128.01,12.8,268.82,PayPal,Shipped,3,Unnecessary
ORDF147ZF8O,CUST2EM45IKQ,PROD3GYBURN2,RC Car,Clothing,30-12-2023,07:49:25,A,Houston,8,189.65,18.96,1536.16,Debit Card,Cancelled,0,Unnecessary
ORD8VKU7I00,CUSTXS9TM4F8,PRODLGJZ5L31,Non-Fiction Book,Electronics,25-03-2024,18:27:32,C,New York,10,299.58,29.96,3025.76,Debit Card,Shipped,1,Unnecessary
ORDIYKK40XS,CUSTMDUEJ782,PROD26MQRILZ,Curtains,Clothing,28-03-2024,22:47:02,C,New York,1,149.33,14.93,164.26,Credit Card,Pending,2,Unnecessary
ORD4B87KXAS,CUST2F5LB37L,PRODHDIGPU1Y,Sneakers,Home,18-10-2024,01:38:50,B,Houston,8,89.21,8.92,722.6,Credit Card,Cancelled,1,Unnecessary
ORDKDWBN04C,CUSTOOYY2123,PRODSKCWOB2H,T-Shirt,Home,15-09-2024,15:29:36,B,Houston,7,320.01,32,2272.07,Net Banking,Cancelled,1,Unnecessary
ORDCT94VH7M,CUSTB9G71KEQ,PRODQ7B7PZN5,Board Game,Clothing,03-11-2023,12:34:34,B,Chicago,2,46.65,4.67,97.97,PayPal,Pending,2,Unnecessary
ORD9YXQWAHA,CUSTNORZGD40,PRODGDAEXU3E,E-Book,Clothing,24-11-2023,15:33:59,A,New York,1,243.58,24.36,267.94,Debit Card,Pending,5,Unnecessary
ORD4L0YGJAH,CUSTOGTOK3MQ,PRODSHAOIYDH,Dining Table,Home,30-01-2024,10:15:13,B,Houston,5,211.75,21.18,1079.93,Debit Card,Delivered,1,Unnecessary
ORDSBO2SN2V,CUSTUTZXFCYZ,PRODIWOSWKHW,Dining Table,Home,23-07-2024,09:50:35,A,New York,1,149.61,14.96,164.57,Debit Card,Delivered,0,Unnecessary
ORDQ3QWIAJK,CUSTC78CYGBZ,PRODCZGJBA1W,Boots,Clothing,05-04-2024,02:07:12,C,Phoenix,1,223.34,22.33,245.67,PayPal,Cancelled,4,Unnecessary
ORDM4NB664E,CUST3NPTWCSA,PRODRXZEH7CJ,Lamp,Home,29-01-2024,06:42:45,B,Phoenix,3,483.95,48.4,1500.25,Debit Card,Delivered,4,Unnecessary
ORDRMFYRA1H,CUSTU5SXIU8G,PROD25U17TCW,E-Book,Clothing,25-09-2024,21:46:06,A,New York,4,352.8,35.28,1446.48,Net Banking,Delivered,3,Unnecessary
ORDYKX0PKRF,CUSTBQSVR842,PRODV4ZG836Z,Curtains,Clothing,16-12-2023,17:02:53,B,Houston,6,34.19,3.42,208.56,Net Banking,Shipped,1,Unnecessary
ORDF0PZ0WM3,CUST66RH8PVT,PROD1JBV7C7I,RC Car,Electronics,04-10-2024,00:07:18,C,Los Angeles,9,355.79,35.58,3237.69,Net Banking,Pending,2,Unnecessary
ORD4305D1YP,CUST7WUTJB52,PROD3GOV4EHV,Smartwatch,Clothing,14-01-2024,21:25:56,B,Phoenix,10,99.74,9.97,1007.37,PayPal,Cancelled,4,Unnecessary
ORDLJAI5RRG,CUSTXQY4NDVQ,PRODS4ZZO4HB,Fiction Book,Electronics,24-11-2023,14:23:13,C,Houston,5,308.15,30.81,1571.56,Debit Card,Delivered,3,Unnecessary
ORDWI6ODTZ7,CUSTNLXWLRE3,PRODP0U6LL9T,Comic Book,Electronics,22-12-2023,05:59:17,C,Los Angeles,5,73.92,7.39,376.99,Debit Card,Delivered,3,Unnecessary
ORDTBPI13DC,CUSTZBID322N,PROD9MZHZCHV,Jacket,Toys,14-12-2023,10:45:47,C,Chicago,10,379.94,37.99,3837.39,PayPal,Cancelled,0,Unnecessary
ORD60UOVQUP,CUSTS9Q4LSME,PRODH9LSBQV9,Dining Table,Books,25-05-2024,06:58:34,B,Chicago,8,46.99,4.7,380.62,Debit Card,Cancelled,2,Unnecessary
ORDJXV1S3PZ,CUST5LNERS75,PRODM9CC54D2,Doll,Electronics,09-10-2024,08:04:33,B,Chicago,5,44.29,4.43,225.88,Credit Card,Pending,3,Unnecessary
ORDE7TS19HI,CUST3FQOYI6B,PRODMP3A4CFJ,T-Shirt,Books,15-07-2024,17:23:50,A,Phoenix,6,386.47,38.65,2357.47,Credit Card,Delivered,2,Unnecessary
ORDYK5O4NTT,CUST8EWQV86B,PRODP681L4MM,Curtains,Toys,26-10-2024,16:50:29,A,Chicago,5,216.1,21.61,1102.11,Credit Card,Shipped,2,Unnecessary
ORDWZ9I6R2R,CUSTNKJFHJX5,PRODQCCIJDQX,Tablet,Toys,19-11-2023,22:08:34,C,Los Angeles,2,379.55,37.96,797.06,Credit Card,Cancelled,4,Unnecessary
ORD2BPJMFGM,CUSTVGGYF3YC,PRODQBOCOR1N,Curtains,Books,02-01-2024,06:33:34,C,Los Angeles,4,171.15,17.12,701.72,Net Banking,Pending,3,Unnecessary
ORDRXEX4OXW,CUSTJDF115X8,PRODSC1D82WU,Boots,Home,30-10-2023,22:18:40,C,Houston,5,193.35,19.34,986.09,PayPal,Shipped,5,Unnecessary
ORD5N2EJ0XK,CUSTJ9XGITA5,PROD3Z3VJJXL,Smartwatch,Electronics,12-11-2023,16:40:37,A,Houston,10,345.82,34.58,3492.78,Net Banking,Delivered,1,Unnecessary
ORDWH0DO4JF,CUSTMR16YY9Y,PRODHSD3GQ5V,Jacket,Electronics,09-05-2024,20:52:51,A,Chicago,2,41.45,4.15,87.05,Debit Card,Delivered,4,Unnecessary
ORDCB3ILLBP,CUSTZ6OPZFNG,PRODQOWZZOYQ,Boots,Electronics,02-09-2024,16:14:59,C,Phoenix,5,157.99,15.8,805.75,Credit Card,Shipped,3,Unnecessary
ORDT3Q9BB2D,CUSTQAZXMII5,PRODJLOKRY1B,Curtains,Home,27-06-2024,07:13:41,A,Houston,10,485.93,48.59,4907.89,Net Banking,Cancelled,3,Unnecessary
ORDX55ZP93Y,CUSTUX39A7YW,PRODOYVFBHQH,Non-Fiction Book,Clothing,25-10-2024,11:46:45,C,Los Angeles,2,465.7,46.57,977.97,Credit Card,Cancelled,4,Unnecessary
ORDIXZMZ6VI,CUSTLOMOPUR2,PRODFNY3OOPT,Board Game,Electronics,22-04-2024,02:06:13,C,Chicago,2,101.35,10.13,212.83,PayPal,Shipped,1,Unnecessary
ORDTZU30MQZ,CUST253CUTY1,PRODLFENTVQF,Non-Fiction Book,Books,24-07-2024,10:09:23,A,Chicago,6,490.3,49.03,2990.83,Debit Card,Cancelled,3,Unnecessary
ORDU5SEIMFB,CUSTH7DJFBOQ,PRODA5O4QXOK,Curtains,Clothing,11-07-2024,04:28:08,A,Phoenix,5,380.33,38.03,1939.68,PayPal,Pending,4,Unnecessary
ORDE2POB3YB,CUSTN3A1NEVA,PRODP1CWRWR1,Action Figure,Clothing,10-07-2024,19:15:09,A,New York,1,236.98,23.7,260.68,PayPal,Pending,4,Unnecessary
ORDB36LA81B,CUSTO47TWQGS,PRODVC2DHIPC,Comic Book,Clothing,12-03-2024,10:48:35,C,Phoenix,6,356.26,35.63,2173.19,PayPal,Delivered,3,Unnecessary
ORDG1XZKX6I,CUSTL4Q0M3HF,PRODMNBCORQV,Tablet,Books,08-04-2024,06:28:39,A,Houston,4,299.68,29.97,1228.69,Net Banking,Shipped,5,Unnecessary
ORD6VJU06X2,CUSTV53U3X59,PRODWDFW0VOD,T-Shirt,Toys,12-05-2024,19:36:41,B,Phoenix,4,82.44,8.24,338,Credit Card,Delivered,5,Unnecessary
ORDRQBQI93G,CUST4B183J1T,PRODSKGGXIT2,Puzzle,Home,27-12-2023,19:28:31,B,Chicago,7,412.53,41.25,2928.96,Net Banking,Cancelled,0,Unnecessary
ORDGXKFW4V7,CUSTL9FVIWD5,PRODA782UNWA,Tablet,Home,25-10-2024,19:56:14,A,New York,4,380.89,38.09,1561.65,Debit Card,Delivered,2,Unnecessary
ORD4GFUC90C,CUSTPPYBVQU3,PROD2J62377M,Jeans,Toys,27-08-2024,13:20:53,A,Chicago,10,152.85,15.29,1543.79,PayPal,Cancelled,4,Unnecessary
ORDIZXGNEW6,CUSTQAOWQPX2,PROD4SY19PSW,Chair,Electronics,04-11-2023,16:47:59,C,Chicago,1,466.91,46.69,513.6,Net Banking,Cancelled,1,Unnecessary
ORDGOWT0BGP,CUST4HDEEMEP,PROD3VUU1AXR,Chair,Home,23-11-2023,23:09:35,C,Phoenix,2,44.73,4.47,93.93,Net Banking,Cancelled,1,Unnecessary
ORDG2050UQY,CUSTTWYWLWS3,PRODBDYZ35J6,Puzzle,Clothing,14-05-2024,10:17:20,C,Phoenix,8,291.17,29.12,2358.48,Net Banking,Cancelled,3,Unnecessary
ORD4EQJP4HS,CUSTD0LO6NCN,PROD0SOHLEZD,RC Car,Home,01-03-2024,10:57:26,C,Los Angeles,6,404.74,40.47,2468.91,Net Banking,Pending,2,Unnecessary
ORDJKTV2INI,CUST65D15BQL,PRODP4GU05NH,Jeans,Home,13-04-2024,13:56:24,B,Houston,5,186.37,18.64,950.49,Credit Card,Delivered,3,Unnecessary
ORDBOBXU5JH,CUSTBENZ131Y,PRODXZTYZ5O6,Chair,Toys,31-07-2024,12:29:49,C,Los Angeles,6,361.64,36.16,2206,Credit Card,Pending,1,Unnecessary
ORD20Z5QQF9,CUSTB8UIDO66,PRODJ90DU8C3,Headphones,Home,02-12-2023,00:02:56,B,Houston,6,399.79,39.98,2438.72,PayPal,Cancelled,5,Unnecessary
ORD5GLVW89F,CUSTK0TGYRML,PRODA5NBRY8G,Sofa,Toys,18-04-2024,01:16:46,B,Chicago,1,421.36,42.14,463.5,Credit Card,Shipped,1,Unnecessary
ORDK99HMXQA,CUST1QW5T7SG,PRODMT4E2ARP,Smartwatch,Electronics,12-11-2023,20:20:13,C,Los Angeles,10,197.71,19.77,1996.87,Debit Card,Cancelled,4,Unnecessary
ORD6IA5TKZC,CUSTBH6O6ISG,PRODD73SHAH1,RC Car,Electronics,21-11-2023,09:50:08,A,Phoenix,4,201.07,20.11,824.39,Debit Card,Cancelled,1,Unnecessary
ORDEV1CHIN9,CUSTR8HVL51Z,PRODXCVVTIV7,Sofa,Electronics,09-06-2024,16:43:54,C,Los Angeles,7,262.59,26.26,1864.39,Credit Card,Pending,3,Unnecessary
ORDRJCN7Q44,CUST0BAT2AG1,PROD5DCFJ4F1,Tablet,Clothing,23-10-2024,08:27:40,C,Chicago,1,244,24.4,268.4,PayPal,Delivered,5,Unnecessary
ORDHV2OEM6O,CUSTIKHU0SOT,PROD4WBOIQZ6,Magazine,Home,13-01-2024,02:30:36,A,Houston,8,238.86,23.89,1934.77,Net Banking,Pending,5,Unnecessary
ORDNH0CO650,CUSTVCCUFRG7,PRODF8VV1W64,T-Shirt,Toys,24-02-2024,09:22:31,B,New York,10,250.77,25.08,2532.78,Debit Card,Pending,2,Unnecessary
ORD58WIL6GD,CUSTCYM9FEI4,PRODOP9WSEI5,Fiction Book,Clothing,02-09-2024,18:36:16,A,Houston,10,24.79,2.48,250.38,Net Banking,Shipped,0,Unnecessary
ORDAJD8RP1T,CUSTHJ6D0N8L,PRODOGRQW0XR,Jeans,Electronics,29-07-2024,03:48:13,B,New York,8,132.21,13.22,1070.9,PayPal,Delivered,4,Unnecessary
ORDZWULL87S,CUST9DPNN26A,PROD0EZODVDW,Action Figure,Electronics,15-07-2024,11:59:40,C,Houston,8,413.37,41.34,3348.3,PayPal,Cancelled,1,Unnecessary
ORDQPG68NKD,CUSTRICSPSUI,PRODZ0ZNWZRA,Board Game,Clothing,29-01-2024,01:34:37,B,Chicago,7,55.16,5.52,391.64,PayPal,Pending,5,Unnecessary
ORDH7KX46IY,CUST0S0OX57R,PRODIX50C09M,T-Shirt,Home,10-08-2024,03:14:16,A,Chicago,10,55.69,5.57,562.47,Debit Card,Cancelled,2,Unnecessary
ORDXA0QO1QP,CUST50W5ATN8,PRODE12WE1S3,Boots,Home,09-07-2024,08:58:29,B,Chicago,1,456.36,45.64,502,Credit Card,Cancelled,0,Unnecessary
ORDZBBGCKAI,CUST9FSSG9TL,PRODPN8LF7A0,E-Book,Books,06-02-2024,20:41:21,C,New York,9,362.32,36.23,3297.11,Net Banking,Cancelled,4,Unnecessary
ORD3CVXLG6M,CUSTG7A41A6X,PRODTJA0YF9Q,T-Shirt,Clothing,04-04-2024,18:46:04,C,Los Angeles,6,305.5,30.55,1863.55,Net Banking,Shipped,0,Unnecessary
ORDZ6ESV1VR,CUSTWTY7W66X,PROD7JPQ5EDC,T-Shirt,Books,21-05-2024,18:39:03,C,Phoenix,10,359.84,35.98,3634.38,Net Banking,Cancelled,0,Unnecessary
ORDBG7ROXX5,CUST6X4YHSWX,PRODBV5RMECW,Comic Book,Toys,21-07-2024,06:25:54,A,Phoenix,7,325.67,32.57,2312.26,PayPal,Shipped,4,Unnecessary
ORD0Z4ZWHF2,CUSTG4T06XFW,PRODGNL3ST8Z,Sneakers,Toys,21-10-2024,22:08:44,A,New York,2,434.44,43.44,912.32,Net Banking,Pending,5,Unnecessary
ORD4I8OIKPZ,CUSTX61LEQ1M,PROD7A11V329,Boots,Home,16-05-2024,09:59:41,A,New York,5,233.94,23.39,1193.09,Credit Card,Cancelled,0,Unnecessary
ORDY8K3QHZ2,CUSTSMQFZB98,PRODJPB7CAY4,Puzzle,Clothing,14-12-2023,09:27:11,A,Houston,2,392.73,39.27,824.73,Debit Card,Shipped,1,Unnecessary
ORD8SWESQE1,CUSTOVHWHCX9,PROD7OWCZM14,Puzzle,Home,05-02-2024,08:31:38,C,New York,10,118.25,11.83,1194.33,Net Banking,Delivered,2,Unnecessary
ORDWCSO02VS,CUSTY0QZX4Z7,PRODN8M0QVRR,Headphones,Toys,05-04-2024,15:06:56,A,Chicago,4,243.82,24.38,999.66,Debit Card,Delivered,0,Unnecessary
ORDRC02LNVV,CUST69MJMON7,PRODT39R9XOY,Non-Fiction Book,Home,13-06-2024,05:57:57,C,Los Angeles,1,20.79,2.08,22.87,PayPal,Shipped,1,Unnecessary
ORDNR4NYPS8,CUSTAUXJRH5C,PRODU1DENK3B,Smartwatch,Electronics,30-05-2024,16:59:54,A,Chicago,2,322.61,32.26,677.48,Net Banking,Cancelled,1,Unnecessary
ORD5QE4UBSY,CUSTXUDCWTFG,PRODVUKAF9CC,RC Car,Home,26-12-2023,15:41:04,A,Los Angeles,8,489.51,48.95,3965.03,Credit Card,Shipped,0,Unnecessary
ORD7NZTL8D5,CUSTCHAJPU8T,PROD4MZDPQQF,T-Shirt,Home,03-09-2024,14:54:52,A,Houston,4,128.34,12.83,526.19,Debit Card,Delivered,5,Unnecessary
ORDX53615XK,CUST3QA13MTB,PRODGYHIGV06,Comic Book,Toys,23-02-2024,10:32:53,A,New York,2,178.95,17.89,375.79,Debit Card,Shipped,3,Unnecessary
ORD4LQUGO32,CUSTE6PBFLRH,PROD6VKZDRYH,Tablet,Books,31-12-2023,06:52:04,B,Chicago,10,147.52,14.75,1489.95,Credit Card,Shipped,5,Unnecessary
ORDSI4BIXPQ,CUSTJ3ZHVZ44,PRODY5ESLUPI,Lamp,Home,10-06-2024,15:35:11,C,Houston,7,236.96,23.7,1682.42,Net Banking,Shipped,1,Unnecessary
ORDOM4YO0AJ,CUSTO49OEEVV,PRODECXLD23K,Doll,Electronics,24-07-2024,02:02:49,A,Los Angeles,5,199.67,19.97,1018.32,Net Banking,Shipped,3,Unnecessary
ORDZE67X2O6,CUST2UGQYJZL,PRODIATH5JZ6,Jacket,Clothing,26-07-2024,20:06:06,A,New York,3,227.24,22.72,704.44,PayPal,Delivered,4,Unnecessary
ORDRV3L08EM,CUSTQRXLYIFD,PROD3EXTOQOZ,Tablet,Home,04-11-2023,20:16:40,C,Chicago,4,41.06,4.11,168.35,Debit Card,Shipped,0,Unnecessary
ORDO2MJWO3D,CUSTJCJIOL89,PROD2T8D3WU1,Headphones,Toys,07-12-2023,21:39:36,C,Houston,8,87.71,8.77,710.45,Net Banking,Delivered,4,Unnecessary
ORDCDRRM6L6,CUSTZXGJNODA,PRODT7V0RKJ2,Smartwatch,Clothing,18-09-2024,08:01:42,C,Phoenix,4,74.11,7.41,303.85,PayPal,Delivered,3,Unnecessary
ORDA5ZGZMGC,CUSTGIHFX3W4,PROD24KIX74Z,Boots,Home,29-12-2023,20:38:53,A,Phoenix,5,319.52,31.95,1629.55,Net Banking,Delivered,1,Unnecessary
ORDU4K90WPE,CUST6A5JYJK7,PRODZ66JVN2P,T-Shirt,Electronics,17-01-2024,18:16:07,A,New York,5,192.96,19.3,984.1,PayPal,Delivered,4,Unnecessary
ORDDKBYN9DP,CUSTVUYHLXUE,PRODOCVLMYC3,Doll,Toys,03-09-2024,06:57:52,C,Chicago,7,183.88,18.39,1305.55,Debit Card,Pending,0,Unnecessary
ORDJVY35FKW,CUST0KH7IHFO,PRODOHL9Y9IV,Boots,Home,25-04-2024,20:21:32,A,Chicago,10,271.53,27.15,2742.45,Credit Card,Shipped,3,Unnecessary
ORD9G76GTZD,CUST8HNTRD0Y,PRODL8NXUBAL,T-Shirt,Clothing,03-11-2023,06:45:45,A,Chicago,10,30.6,3.06,309.06,Credit Card,Shipped,0,Unnecessary
